Comparison,corr_mse_NN,corr_mse_Baseline,Diff (NN-Baseline),CI_lower,CI_upper,Significant
NN vs Per-product log-log,0.10068203558392476,0.10858150012192742,-0.007899464538002665,-0.021175637067756443,0.0009870542704901255,No
NN vs XGBoost,0.10068203558392476,0.09684616935210284,0.003835866231821916,-0.0001816105702226656,0.007952376052229083,No
