K,n_params,val_corr_mse,test_corr_mse,test_mse,test_r2,median_elasticity,mean_elasticity,violation_rate,n_epochs,train_time_s
5,79920,0.09918742008409503,0.09955668608755107,0.19557850062847137,-0.11736118793487549,-0.3354846441711058,-0.8784336043949077,0.0,81,57.21038794517517
10,80895,0.09913059561510042,0.10010324754661203,0.18254080414772034,-0.04287528991699219,-0.21570299508900043,-0.6449496717533628,0.0,64,45.9003472328186
20,82845,0.09901415789746429,0.09909608941155158,0.16933995485305786,0.032542526721954346,-0.21216054518458266,-0.590805667079977,0.0,64,44.89575409889221
40,86745,0.09883555375253764,0.09905035722365033,0.18644925951957703,-0.06520473957061768,-0.2944976204836278,-0.6868639097459882,0.0,72,50.80851125717163
