seed,val_corr_mse,test_corr_mse,test_mse,test_r2,test_rmse,test_mae,median_elasticity,mean_elasticity,violation_rate,n_epochs,train_time_s
42,0.09907788387073894,0.09926236454152466,0.17073814570903778,0.02455449104309082,0.41320472614557274,0.2943613827228546,-0.20467748571706884,-0.5885332586574067,0.0,64,47.877302169799805
123,0.09890771762798034,0.10145129892700423,0.1968480348587036,-0.12461411952972412,0.44367559642006865,0.31385424733161926,-0.1891199825831218,-0.793563767073318,0.0,97,67.2028820514679
456,0.09721100834960195,0.10262949961745055,0.21006399393081665,-0.2001183032989502,0.45832738727989697,0.32968899607658386,-0.25274940921338235,-0.7723494910989234,0.0,105,73.946937084198
789,0.09935747376313823,0.0999006404638359,0.15325964987277985,0.12441104650497437,0.3914839075527624,0.2945925295352936,-0.25978746670943215,-0.4787595282548548,0.0,55,38.334479093551636
2024,0.09867206669706231,0.10115297988920025,0.19494055211544037,-0.1137164831161499,0.4415207267110349,0.3278749883174896,-0.32658460474182494,-0.8068664496093237,0.0,86,61.0044379234314
